Commune ou section	Commune	Code postal	Population	Bureau de poste	Iles	Ile	Archipel	Commune Associée	Commune - Ile - Code Postal	Code Postal - Commune - Ile
NUKUTAVAKE	Nukutavake	98791			NUKUTAVAKE	Nukutavake	Tuamotu-Gambiers	Nukutavake	Nukutavake - 98791	98791 - Nukutavake
PINAKI	Pinaki	98791		PAPEETE-CTC	PINAKI	Pinaki	Tuamotu-Gambiers		Pinaki - 98791	98791 - Pinaki
TAENGA	Taenga	98791		HENUAPAREA	TAENGA	Taenga	Tuamotu-Gambiers		Taenga - 98791	98791 - Taenga
TEMATANGI	Tematangi	98791			TEMATANGI	Tematangi	Tuamotu-Gambiers	Tureia	Tematangi - 98791	98791 - Tematangi
NAPUKA/TEPOTO NORD	Tepoto Nord	98791		PAPEETE-CTC	TEPOTO NORD	Tepoto Nord	Tuamotu-Gambiers		Tepoto Nord - 98791	98791 - Tepoto Nord
VAHITAHI	Vahitahi	98791			VAHITAHI	Vahitahi	Tuamotu-Gambiers	Vahitahi	Vahitahi - 98791	98791 - Vahitahi
NUKUTAVAKE/VAIRAATEA	Vairaatea	98791		PAPEETE-CTC	VAIRAATEA	Vairaatea	Tuamotu-Gambiers		Vairaatea - 98791	98791 - Vairaatea
VANAVANA	Vanavana	98791		PAPEETE-CTC	VANAVANA	Vanavana	Tuamotu-Gambiers		Vanavana - 98791	98791 - Vanavana
MARIA	Maria	98792			MARIA (GAMBIER)	Maria (Gambier)	Tuamotu-Gambiers	Gambier	Maria - Maria (Gambier) - 98792	98792 - Maria - Maria (Gambier)
MATUREI VAVAO	Maturei Vavao	98792			MATUREI VAVAO	Maturei Vavao	Tuamotu-Gambiers	Gambier	Maturei Vavao - 98792	98792 - Maturei Vavao
GAMBIER/MORANE	Morane	98792		PAPEETE-CTC	MORANE	Morane	Tuamotu-Gambiers		Morane - 98792	98792 - Morane
GAMBIER/MOTUREIVAVAO	Motureivavao	98792		PAPEETE-CTC	MOTUREIVAVAO	Motureivavao	Tuamotu-Gambiers		Motureivavao - 98792	98792 - Motureivavao
GAMBIER/TEMOE	Temoe	98792		PAPEETE-CTC	TEMOE	Temoe	Tuamotu-Gambiers		Temoe - 98792	98792 - Temoe
GAMBIER/TENARARO	Tenararo	98792		PAPEETE-CTC	TENARARO	Tenararo	Tuamotu-Gambiers		Tenararo - 98792	98792 - Tenararo
GAMBIER/TENARUNGA	Tenarunga	98792		PAPEETE-CTC	TENARUNGA	Tenarunga	Tuamotu-Gambiers		Tenarunga - 98792	98792 - Tenarunga
GAMBIER/VAHANGA	Vahanga	98792		PAPEETE-CTC	VAHANGA	Vahanga	Tuamotu-Gambiers		Vahanga - 98792	98792 - Vahanga
GAMBIER/MARUTEA SUD	Marutea Sud	98793		PAPEETE-CTC	Marutea Sud	Marutea Sud	Tuamotu-Gambiers		Marutea Sud - 98793	98793 - Marutea Sud
MAROTIRI	Marotiri	98794			MAROTIRI	Marotiri	Australes	Rapa	Marotiri - 98794	98794 - Marotiri
EIAO	Eiao	98796			EIAO	Eiao	Marquises	Taiohae	Eiao - 98796	98796 - Eiao
FATU HUKU	Fatu Huku	98796			FATU HUKU	Fatu Huku	Marquises	Puamau	Fatu Huku - 98796	98796 - Fatu Huku
HATU ITI	Hatu Iti	98796			HATU ITI	Hatu Iti	Marquises	Taiohae	Hatu Iti - 98796	98796 - Hatu Iti
HATUTAA	Hatutaa	98796			HATUTAA	Hatutaa	Marquises	Taiohae	Hatutaa - 98796	98796 - Hatutaa
MOHOTANI	Mohotani	98796		PAPEETE-CTC	MOHOTANI	Mohotani	Marquises		Mohotani - 98796	98796 - Mohotani
